Count,Port,Program,UFW Done?,Notes
2,2003,python,Yes,
2,2004,python,Yes,
47,22,sshd,Yes,
46,25,master,Not Needed,
20,27017,mongod,Yes,
1,27018,mongod,Not Needed,Mongo on CI
1,27019,mongod,Not Needed,Mongo on CI
1,27020,mongod,Not Needed,Mongo on CI
20,28017,mongod,Yes,
1,28018,mongod,Not Needed,Mongo on CI
1,28019,mongod,Not Needed,Mongo on CI
1,28020,mongod,Not Needed,Mongo on CI
1,3007,unicorn.rb,Not Needed,Unicorn CGI
3,3007,unicorn.rb,Not Needed,Unicorn CGI
4,3017,unicorn.rb,Not Needed,Unicorn CGI
2,3018,unicorn.rb,Not Needed,Unicorn CGI
2,3018,unicorn.rb,Not Needed,Unicorn CGI
2,3020,unicorn.rb,Not Needed,Unicorn CGI
1,3022,unicorn.rb,Not Needed,Unicorn CGI
3,3022,unicorn.rb,Not Needed,Unicorn CGI
4,3023,node,Not Needed,Unicorn CGI
2,3025,unicorn.rb,Not Needed,Unicorn CGI
1,3026,unicorn.rb,Not Needed,Unicorn CGI
1,3026,unicorn.rb,Not Needed,Unicorn CGI
2,3030,unicorn.rb,Not Needed,Unicorn CGI
2,3030,unicorn.rb,Not Needed,Unicorn CGI
10,3306,mysqld,Yes,
2,33333,python,Not Needed,Graphite FCGI
1,34361,beam.smp,Not Needed,Erlang/AMQP
1,4040,unicorn.rb,Not Needed,
2,4369,epmd,Not Needed,Erlang/RabbitMQ
19,443,nginx,Yes,
1,55197,beam.smp,Not Needed,Erlang/AMQP
47,5666,nrpe,Yes,
2,5672,beam.smp,Yes,AMQP
2,6099,Xvfb,Not Needed,
2,7002,python,Yes,graphite
6,7999,varnishd,Not Needed,
23,80,apache2,Yes,
23,80,nginx,Yes,
8,8080,apache2,Not Needed,Passenger CGI
12,8081,apache2,Not Needed,Passenger CGI
12,8082,apache2,Not Needed,Passenger CGI
12,8083,apache2,Not Needed,Passenger CGI
12,8084,apache2,Not Needed,Passenger CGI
12,8085,apache2,Not Needed,Passenger CGI
12,8086,apache2,Not Needed,Passenger CGI
12,8087,apache2,Not Needed,Passenger CGI
12,8088,apache2,Not Needed,Passenger CGI
41,8126,node,Yes,Statsd
1,8140,nginx,Yes,Puppetmaster
1,8140,ruby1.8,Yes,Puppetmaster
1,8443,ruby,Not Needed,Some Gareth crap
47,8649,gmond,Yes,ganglia client
2,8651,gmetad,Yes,ganglia server
2,8652,gmetad,Yes,ganglia server
1,9090,unicorn.conf,Not Needed,Puppetmaster
1,9292,ruby,Yes,puppetdb
28,9294,ruby,Yes,facter
1,9294,ruby1.8,Yes,facter
